"","Country","Gross_arrivals_2014","Gross_arrivals_2015","Gross_arrivals_2016","Gross_arrivals_2017","Gross_arrivals_2018"
"1","Australia","19,549","23,275","25,273","25,783","24,950"
"2","United Kingdom","13,938","13,680","13,379","14,373","15,017"
"3","Mainland China","8,182","9,515","11,036","12,461","11,993"
"4","India","6,704","11,303","14,490","10,255","9,030"
"5","South Africa","1,285","1,669","2,404","4,563","5,275"
"6","Philippines","2,660","3,890","5,393","4,918","5,223"
"7","United States","3,894","3,900","4,297","4,300","5,010"
"8","France","2,374","3,334","3,767","4,227","4,392"
"9","Germany","3,295","3,564","3,906","4,459","4,309"
"10","South Korea","1,846","1,796","1,977","2,521","2,812"
"11","Canada","1,870","2,166","2,463","2,508","2,671"
"12","Japan","1,947","2,126","2,273","2,456","2,415"
"13","Samoa","1,421","1,726","1,915","1,957","2,124"
"14","Fiji","1,210","1,361","1,47","1,983","1,790"
"15","Malaysia","1,083","1,177","1,287","1,535","1,562"
"16","Singapore","934","1,021","1,367","1,429","1,461"
"17","United Arab Emirates","523","665","752","989","1,146"
"18","Ireland","1,661","1,240","1,148","1,070","1,139"
"19","Vietnam","539","610","730","860","1,114"
"20","Thailand","817","825","1,089","1,236","1,094"
"21","Sri Lanka","634","606","880","908","1,078"
"22","Hong Kong","823","855","1,031","1,111","1,061"
"23","Total","93,965","109,317","121,937","127,305","131,566"
